"ID",Title,Authors,Status in the selection phase,Status in the full-reading phase,Year,Journal/Conference,Inclusion or Exclusion Criteria (Selection Phase),Inclusion or Exclusion Criteria (Full-reading Phase),Method,Quality criteria,Collaborative activity,Object under evaluation,Type of approach
1,A crowdsourcing-based framework for improving geo-spatial open data,"Karam, R. and Melchiori, M.",ACCEPTED,ACCEPTED,2013,"IEEE International Conference on Systems, Man, and Cybernetics (2013)",(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Expert assessment,Accuracy and completeness,Collaborative Mapping,Information and volunteer,Crowdsourcing 
2,A linguistic decision making approach to assess the quality of volunteer geographic information for citizen science,"Bordogna, Gloria and Carrara, Paola and Criscuolo, Laura and Pepe,Monica and Rampini, Anna",ACCEPTED,ACCEPTED,2014,Information Sciences,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Ranking/filtering by linguistic terms,Pragmatic quality,Crowd sensing,Information,Social
3,A new Spatial OLAP approach for the analysis of Volunteered Geographic Information,"Bimonte, Sandro and Boucelma, Omar and Machabert, Olivier and Sellami,Sana",ACCEPTED,REJECTED,2014,Computers Environment and Urban Systems,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
4,A systematic approach to evaluate and validate the spatial accuracy of farmers market locations using multi-geocoding services,"Cui, Y.",ACCEPTED,ACCEPTED,2013,Applied Geography,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Automatic location checking,Positional accuracy,Crowd sensing,Information,Geographic
5,A systematic study of OpenStreetMap data quality assessment,"Sehra, S.S.a  and Singh, J.b  and Rai, H.S.c ",ACCEPTED,REJECTED,2014,International Conference on Information Technology: New Generations,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E10) the primary study is a literature review;,N/A,N/A,N/A,N/A,N/A
6,An assessment of a collaborative mapping approach for exploring land use patterns for several European metropolises ,Jamal Jokar Arsanjani and Eric Vaz,ACCEPTED,REJECTED,2015,International Journal of Applied Earth Observation and Geoinformation ,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E12) the primary study proposes a method for quality assessment of voluntereed geographic information using authoritative data.,Comparison with authoritative data,Thematic accuracy and completeness,Collaborative Mapping,Information,Geographic
7,Analyzing the Spatial-Semantic Interaction of Points of Interest in Volunteered Geographic Information,"Muelliganni, Christoph and Janowicz, Krzysztof and Ye, Mao and Lee,Wang-Chien",ACCEPTED,REJECTED,2011,Spatial Information Theory,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
8,Artificial intelligence-based solution to estimate the spatial accuracy of volunteered geographic data,"Mohammadi, N. and Malek, M.",ACCEPTED,ACCEPTED,2014,Journal of Spatial Science,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Extraction/learning of characteristics,Positional accuracy,Collaborative Mapping,Information,Geographic
9,Assessing the accuracy of volunteered geographic information arising from multiple contributors to an internet based collaborative project,"Foody, G.M.a  and See, L.b  and Fritz, S.b  and Van der Velde, M.b  and Perger, C.c  and Schill, C.d  and Boyd, D.S.a ",ACCEPTED,ACCEPTED,2013,Transactions in GIS,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Expert assessment,Thematic accuracy ,Crowd sensing,Volunteer,Crowdsourcing 
10,Assuring the quality of volunteered geographic information ,Michael F. Goodchild and Linna Li,ACCEPTED,REJECTED,2012,Spatial Statistics ,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
11,Automated Highway Tag Assessment of OpenStreetMap Road Networks,"Jilani, Musfira and Corcoran, Padraig and Bertolotto, Michela",ACCEPTED,ACCEPTED,2014,22nd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Extraction/learning of characteristics,Semantic accuracy,Collaborative Mapping,Information,Geographic
12,Can we trust information? - The case of volunteered geographic information,"Bishr, M.a  and Janowicz, K.b ",ACCEPTED,ACCEPTED,2010,CEUR Workshop Proceedings,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Volunteer's profile; reputation,Trust,Crowd sensing,Information,Social
13,Citizens as sensors for natural hazards: A VGI integration workflow,"De Longueville, B. and Luraschi, G. and Smits, P. and Peedell, S. and De Groeve, T.",ACCEPTED,ACCEPTED,2010,Geomatica,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Spatiotemporal clustering,Reliability,Social Media,Information,Geographic
14,Comparing the Quality of Crowdsourced Data Contributed by Expert andNon-Experts,"See, Linda and Comber, Alexis and Salk, Carl and Fritz, Steffen and vander Velde, Marijn and Perger, Christoph and Schill, Christian andMcCallum, Ian and Kraxner, Florian and Obersteiner, Michael",ACCEPTED,ACCEPTED,2013,Plos One,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Redundancy of volunteersí contribution,Consistency and accuracy,Crowd sensing,Information,Crowdsourcing 
15,"Conducting disaster damage assessments with Spatial Video, experts, andcitizens","Lue, Evan and Wilson, John P. and Curtis, Andrew",ACCEPTED,REJECTED,2014,Applied Geography,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
16,Constructing gazetteers from volunteered Big Geo-Data based on Hadoop ,Song Gao and Linna Li and Wenwen Li and Krzysztof Janowicz and Yue Zhang,ACCEPTED,REJECTED,2014,"Computers, Environment and Urban Systems ",(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
17,Crowdsourcing geographic information for disaster response: A research frontier,"Goodchild, M.F. and Glennon, J.A.",ACCEPTED,REJECTED,2010,International Journal of Digital Earth,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
18,Data quality assurance for volunteered geographic information,"Ali, A.L. and Schmid, F",ACCEPTED,ACCEPTED,2014,Lecture Notes in Computer Science ,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Extraction/learning of characteristics,Consistency and plausibility,Collaborative Mapping,Information,Geographic
19,Flexible querying of volunteered geographic information for risk management,"Arcaini, P. and Bordogna, G. and Sterlacchini, S.",ACCEPTED,REJECTED,2013,8th Conference of the European Society for Fuzzy Logic and Technology,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
20,From volunteered geographic information to volunteered geographic OLAP: A VGI data quality-based approach,"Bimonte, S.  and Boucelma, O. and Machabert, O. and Sellami, S.",ACCEPTED,REJECTED,2014,Lecture Notes in Computer Science ,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
21,GeoTruCrowd: Trustworthy Query Answering with Spatial Crowdsourcing,"Kazemi, Leyla and Shahabi, Cyrus and Chen, Lei",ACCEPTED,REJECTED,2013,21st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
22,Groundtruthing OpenStreetMap building damage assessment,"Westrope, C.  and Banick, R.  and Levine, M.",ACCEPTED,REJECTED,2014,Procedia Engineering,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
23,How many volunteers does it take to map an area well? the validity of Linus' law to volunteered geographic information,"Haklay, M. and Basiouka, S. and Antoniou, V. and Ather, A.",ACCEPTED,REJECTED,2010,Cartographic Journal,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E12) the primary study proposes a method for quality assessment of voluntereed geographic information using authoritative data.,Comparison with authoritative data,Positional accuracy,Collaborative Mapping,Information,Geographic
24,Identifying Locations of Social Significance: Aggregating Social Media Content to Create a New Trust Model for Exploring Crowd Sourced Data and Information,"Di Leonardo, A. and Fairgrieve, S. and Gribble, A. and Prats, F. and Smith, W. and Sweat, T. and Usher, A. and Woodley, D. and Cozzens, J.B.",ACCEPTED,REJECTED,2014,Lecture Notes in Computer Science ,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
25,Improving geo-spatial linked data with the wisdom of the crowds,"Karam, R.a  and Melchiori, M.b ",ACCEPTED,REJECTED,2013,ACM International Conference Proceeding Series,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",N/A,N/A,N/A,N/A,N/A
26,Increasing the veracity of event detection on social media networks through user trust modeling,"Bodnar, T.a  and Tucker, C.b  and Hopkinson, K.c  and Bilen, S.G.d ",ACCEPTED,ACCEPTED,2014,IEEE International Conference on Big Data,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Volunteer's profile; reputation,Trustworthiness,Social Media,Volunteer,N/A
27,Is PPGIS good enough? An empirical evaluation of the quality of PPGIS crowd-sourced spatial data for conservation planning,"Brown, G.a  and Weber, D.b  and de Bie, K.c  d ",ACCEPTED,REJECTED,2015,Land Use Policy,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E12) the primary study proposes a method for quality assessment of voluntereed geographic information using authoritative data.,Comparison with authoritative data,Positional accuracy and completeness,Participatory Sensing,Information,Crowdsourcing 
28,"Location-based trust for mobile user-generated content: Applications, challenges and implementations","Lenders, V. and Koukoumidis, E. and Zhang, P. and Martonosi, M.",ACCEPTED,REJECTED,2008,9th Workshop on Mobile Computing Systems and Applications,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
29,MapCorrect: Automatic correction and validation of road maps using public sensing,"Baier, P. and Weinschrott, H. and Durr, F. and Rothermel, K.",ACCEPTED,REJECTED,2011,Conference on Local Computer Networks,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
30,Methods of crowd sourcing geographic data processing and analysis,"Shan, J.a  b  and Qin, K.a  and Huang, C.a  and Hu, X.a  and Yu, Y.a  and Hu, Q.a  and Lin, Z.a  and Chen, J.a  and Jia, T.a ",ACCEPTED,REJECTED,2014,Geomatics and Information Science of Wuhan University,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E3) the primary study is not in Portuguese or English;,N/A,N/A,N/A,N/A,N/A
31,Mining point-of-interest data from social networks for urban land use classification and disaggregation,"Jiang, S.a  and Alves, A.b  and Rodrigues, F.c  and Ferreira, J.d  and Pereira, F.C.e ",ACCEPTED,REJECTED,2015,"Computers, Environment and Urban Systems",(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E11) the primary study has not been published between 2005 and 2014;,N/A,N/A,N/A,N/A,N/A
32,Positional accuracy analysis of Flickr and Panoramio images for selected world regions,"Zielstra, D. and Hochmair, H.H.",ACCEPTED,ACCEPTED,2013,Journal of Spatial Science,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Geographic context,Positional accuracy,Social Media,Information,Geographic
33,Quality analysis on crowd sourcing geographic data with open street map data,"Wang, M.a  and Li, Q.b  c  and Hu, Q.a  and Zhou, M.a ",ACCEPTED,REJECTED,2013,Geomatics and Information Science of Wuhan University,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E3) the primary study is not in Portuguese or English;,N/A,N/A,N/A,N/A,N/A
34,Quality and Budget Aware Task Allocation for Spatial Crowdsourcing,"Yu, Han and Miao, Chunyan and Shen, Zhiqi and Leung, Cyril",ACCEPTED,REJECTED,2015,International Conference on Autonomous Agents and Multiagent Systems,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
35,Quality assessment for building footprints data on OpenStreetMap,"Fan, H.a  and Zipf, A.a  and Fu, Q.b  and Neis, P.a ",ACCEPTED,REJECTED,2014,International Journal of Geographical Information Science,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E12) the primary study proposes a method for quality assessment of voluntereed geographic information using authoritative data.,Comparison with authoritative data,"Completeness, semantic accuracy, position accuracy and geometric accuracy",Collaborative Mapping,Information,Geographic
36,Quality Assessment of the French OpenStreetMap Dataset,"Girres, J.-F. and Touya, G.",ACCEPTED,REJECTED,2010,Transactions in GIS,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E12) the primary study proposes a method for quality assessment of voluntereed geographic information using authoritative data.,Comparison with authoritative data,"Geometric accuracy, attritue accuracy, completeness, logical consistency, semantic accuracy, temporal accuracy, lineage and usage",Collaborative Mapping,Information,Geographic
37,Quality control for crowdsourcing with spatial and temporal distribution,"Zhang, G. and Chen, H.",ACCEPTED,REJECTED,2013,Lecture Notes in Computer Science ,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",N/A,N/A,N/A,N/A,N/A
38,Rating crowdsourced annotations: evaluating contributions of variable quality and completeness,"Foody, G.M.",ACCEPTED,ACCEPTED,2014,International Journal of Digital Earth,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Redundancy of volunteers' contribution,Accuracy ,Crowd sensing,Information,Crowdsourcing 
39,Reliable improvement for collective intelligence on Thai herbal information,"Lertnattee, V.a  and Chomya, S.a  and Sornlertlamvanich, V.b ",ACCEPTED,ACCEPTED,2010,Studies in Computational Intelligence,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Scoring volunteered contribution,Reliability,Crowd sensing,Information,Crowdsourcing 
40,SDI and crowdsourced spatial information management automation for disaster management,"Koswatte, S. and McDougall, K. and Liu, X.",ACCEPTED,REJECTED,2015,Survey Review,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
41,"Spatial collective intelligence? credibility, accuracy, and volunteered geographic information","Spielman, S.E.",ACCEPTED,REJECTED,2014,Cartography and Geographic Information Science,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
42,Spatial data uncertainty in the VGI world: Going from consumer to producer,"Grira, J. and Bedard, Y. and Roche, S.",ACCEPTED,REJECTED,2010,Geomatica,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",N/A,N/A,N/A,N/A,N/A
43,Spatial-aware Multimodal Location Estimation for Social Images,"Cao, Jiewei and Huang, Zi and Yang, Yang",ACCEPTED,REJECTED,2015,23rd ACM International Conference on Multimedia,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
44,Taming Uncertainty in Big Data Evidence from Social Media in Urban Areas,"Bendler, Johannes and Wagner, Sebastian and Brandt, Tobias and Neumann,Dirk",ACCEPTED,REJECTED,2014,Business and Information Systems Engineering,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
45,The credibility of volunteered geographic information,"Flanagin, A.J. and Metzger, M.J.",ACCEPTED,REJECTED,2008,GeoJournal,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
46,There's No Such Thing As the Perfect Map: Quantifying Bias in Spatial Crowd-sourcing Datasets,"Quattrone, Giovanni and Capra, Licia and De Meo, Pasquale",ACCEPTED,REJECTED,2015,18th ACM Conference on Computer Supported Cooperative Work Social Computing,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
47,Towards a generic framework for trustworthy spatial crowdsourcing,"Shahabi, C.",ACCEPTED,REJECTED,2013,"12th International ACM Workshop on Data Engineering for Wireless and Mobile Acess, MobiDE 2013",(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
48,Towards Quality Metrics for OpenStreetMap,"Mooney, Peter and Corcoran, Padraig and Winstanley, Adam C.",ACCEPTED,REJECTED,2010,18th SIGSPATIAL International Conference on Advances in Geographic Information Systems,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E12) the primary study proposes a method for quality assessment of voluntereed geographic information using authoritative data.,Comparison with authoritative data,Shape similarity,Collaborative Mapping,Information,Geographic
49,Trust and reputation models for quality assessment of human sensor observations,"Bishr, M.a  and Kuhn, W.b ",ACCEPTED,ACCEPTED,2013,Lecture Notes in Computer Science ,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Volunteer¥s profile; reputation,Trust and reputation,Crowd sensing,Information and volunteer,Social
50,Trust as a Proxy Measure for the Quality of Volunteered GeographicInformation in the Case of OpenStreetMap,"Kessler, Carsten and de Groot, Rene Theodore Anton",ACCEPTED,ACCEPTED,2013,Geographic Information Science at the Heart of Europe,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Historical data analysis,Trustworthiness,Collaborative Mapping,Information,Crowdsourcing 
51,Using control data to determine the reliability of volunteered geographic information about land cover,"Comber, A.a  and See, L.b  and Fritz, S.b  and Velde, M.V.b  and Perger, C.b  and Foody, G.c ",ACCEPTED,ACCEPTED,2013,International Journal of Applied Earth Observation and Geoinformation,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Redundancy of volunteers' contribution,Reliability,Crowd sensing,Information,Crowdsourcing 
52,Using Reverse Viewshed Analysis to Assess the Location Correctness ofVisually Generated VGI,"Senaratne, Hansi and Broering, Arne and Schreck, Tobias",ACCEPTED,ACCEPTED,2013,Transactions in GIS,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Geographic context,Location correctness,Social Media,Information,Geographic
53,Volunteered geographic information for disaster management with application to rapid flood damage estimation,"Poser, K. and Dransch, D.",ACCEPTED,REJECTED,2010,Geomatica,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E12) the primary study proposes a method for quality assessment of voluntereed geographic information using authoritative data.,Comparison with authoritative data,Accuracy,Crowd sensing,Information,Geographic
54,"17th Americas Conference on Information Systems 2011, AMCIS 2011",,REJECTED,UNCLASSIFIED,2011,17th Americas Conference on Information Systems ,(E8) the primary study is a conference summary or call for papers;,,,,,,
55,"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 1",,REJECTED,UNCLASSIFIED,2012,18th Americas Conference on Information Systems,(E8) the primary study is a conference summary or call for papers;,,,,,,
56,"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 2",,REJECTED,UNCLASSIFIED,2012,18th Americas Conference on Information Systems 2012,(E8) the primary study is a conference summary or call for papers;,,,,,,
57,"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 3",,REJECTED,UNCLASSIFIED,2012,18th Americas Conference on Information Systems,(E8) the primary study is a conference summary or call for papers;,,,,,,
58,"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 4",,REJECTED,UNCLASSIFIED,2012,18th Americas Conference on Information Systems,(E8) the primary study is a conference summary or call for papers;,,,,,,
59,"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 5",,REJECTED,UNCLASSIFIED,2012,18th Americas Conference on Information Systems,(E8) the primary study is a conference summary or call for papers;,,,,,,
60,"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 6",,REJECTED,UNCLASSIFIED,2012,18th Americas Conference on Information Systems ,(E8) the primary study is a conference summary or call for papers;,,,,,,
61,19th International Conference Advances in Multimedia Modeling,,REJECTED,UNCLASSIFIED,2013,Lecture Notes in Computer Science ,(E8) the primary study is a conference summary or call for papers; ,,,,,,
62,2012 Information Security for South Africa - Proceedings of the ISSA 2012 Conference,,REJECTED,UNCLASSIFIED,2012,Conference on Information Security for South Africa,(E8) the primary study is a conference summary or call for papers;,,,,,,
63,"2013 2nd International Conference on Information Technology and Management Innovation, ICITMI 2013",,REJECTED,UNCLASSIFIED,2013,Applied Mechanics and Materials,(E8) the primary study is a conference summary or call for papers;,,,,,,
64,"2013 3rd International Conference on Frontiers of Manufacturing Science and Measuring Technology, ICFMM 2013",,REJECTED,UNCLASSIFIED,2013,Applied Mechanics and Materials,(E8) the primary study is a conference summary or call for papers;,,,,,,
65,"22nd Annual Conference on Behavior Representation in Modeling and Simulation, BRiMS 2013 - Co-located with the International Conference on Cognitive Modeling",,REJECTED,UNCLASSIFIED,2013,22nd Annual Conference on Behavior Representation in Modeling and Simulation,(E8) the primary study is a conference summary or call for papers;,,,,,,
66,2nd International Workshop on Ubiquitous Crowdsouring,,REJECTED,UNCLASSIFIED,2011,2nd International Workshop on Ubiquitous Crowdsouring,(E8) the primary study is a conference summary or call for papers; ,,,,,,
67,6th ACM SIGSPATIAL International Workshop on Computational Transportation Science,,REJECTED,UNCLASSIFIED,2013,6th ACM SIGSPATIAL International Workshop on Computational Transportation Science,(E8) the primary study is a conference summary or call for papers; ,,,,,,
68,6th International Conference Internet and Distributed Computing Systems ,,REJECTED,UNCLASSIFIED,2013,Lecture Notes in Computer Science ,(E8) the primary study is a conference summary or call for papers; ,,,,,,
69,"6th International Conference on Social Informatics, SocInfo 2014",,REJECTED,UNCLASSIFIED,2014,Lecture Notes in Computer Science ,(E8) the primary study is a conference summary or call for papers;,,,,,,
70,7th ACM Conference on Recommender Systems,,REJECTED,UNCLASSIFIED,2013,RecSys 2013 - Proceedings of the 7th ACM Conference on Recommender Systems,(E8) the primary study is a conference summary or call for papers; ,,,,,,
71,9th International Conference on e-Science,,REJECTED,UNCLASSIFIED,2013,9th International Conference on e-Science,(E8) the primary study is a conference summary or call for papers; ,,,,,,
72,A  Framework for  Protecting  Worker  Location  Privacy in  Spatial  Crowdsourcing,"To, Hien and Ghinita, Gabriel and Shahabi, Cyrus",REJECTED,UNCLASSIFIED,2014,VLDB Endowment,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
73,A  Gesture  Recognition  Algorithm for  Vision-based  Unicursal  Gesture  Interfaces,"Aoki, Ryosuke and Chan, Bessie and Ihara, Masayuki and Kobayashi, Toru and Kobayashi, Minoru and Kagami, Shingo",REJECTED,UNCLASSIFIED,2012,10th  European  Conference on  Interactive  Tv and  Video,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
74,A  Latent  Variable  Model for  Geographic  Lexical  Variation,"Eisenstein, Jacob and O'Connor, Brendan and Smith, Noah A. and Xing, Eric P.",REJECTED,UNCLASSIFIED,2010,Conference on  Empirical  Methods in  Natural  Language  Processing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
75,A  Probabilistic  Approach to  Mining  Geospatial  Knowledge from  Social  Annotations,"Intagorn, Suradej and Lerman, Kristina",REJECTED,UNCLASSIFIED,2012,21st  ACM  International  Conference on  Information and  Knowledge  Management,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
76,A  Semantic  Web  Based  Gazetteer  Model for  VGI,"Beard, Kate",REJECTED,UNCLASSIFIED,2012,1st  ACM  SIGSPATIAL  International  Workshop on  Crowdsourced and  Volunteered  Geographic  Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
77,A brief introduction of data management for volunteered geographic information,"Li, D. and Qian, X.",REJECTED,UNCLASSIFIED,2010,Geomatics and Information Science of Wuhan University,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
78,A comparative study on no-reference Video Quality Assessment metrics ,"Zerman, E.a  and Akar, G.B.a  and Konuk, B.b  and Yilmaz, G.N.c ",REJECTED,UNCLASSIFIED,2014, 22nd Signal Processing and Communications Applications Conference,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
79,"A comparison of forest cover maps in Mainland Southeast Asia from multiple sources: PALSAR, MERIS,  MODIS and  FRA ",Jinwei Dong and Xiangming Xiao and Sage Sheldon and Chandrashekhar Biradar and Nguyen Dinh Duong and Manzul Hazarika,REJECTED,UNCLASSIFIED,2012,Remote Sensing of Environment ,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
80,A crowdsourcing approach to promote safe walking for visually impaired people,"Lin, C.-Y.; Huang, S.-W. & Hsu, H.-H.",REJECTED,UNCLASSIFIED,2014,International Conference on Smart Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
81,A design case study: Integrated product and process management,"Arbulu, R.a  and Soto, J.b ",REJECTED,UNCLASSIFIED,2006, 14th Annual Conference of the International Group for Lean Construction,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
82,A framework for the integration of volunteered geographic information into humanitarian logistics,"Horita, F.E.A.a  and Link, D.b  and de Albuquerque, J.P.c  and Hellingrath, B.d ",REJECTED,UNCLASSIFIED,2014,20th Americas Conference on Information Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
83,A geographic topic model with author relationship,"Zhang, Y. and Tang, S. and Luo, J. and Lu, W. and Shao, J. and Wu, F.",REJECTED,UNCLASSIFIED,2012,Journal of Computer-Aided Design and Computer Graphics,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
84,A GIS-based decision support system for hotel room rate estimation andtemporal price prediction: The hotel brokers' context,"Kisilevich, Slava and Keim, Daniel and Rokach, Lior",REJECTED,UNCLASSIFIED,2013,Decision Support Systems,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
85,A human-enhanced framework for assessing open geo-spatial data,"Karam, R. and Melchiori, M.",REJECTED,UNCLASSIFIED,2014,Lecture Notes in Computer Science ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
86,A machine learning approach to determining tag relevance in geotagged Flickr imagery,"Hughes, M.a  and O'Connor, N.E.a  and Jones, G.J.F.b ",REJECTED,UNCLASSIFIED,2012,International Workshop on Image Analysis for Multimedia Interactive Services,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
87,A multi-indicator approach for geolocalization of tweets,"Schulz, A.a  b  and Hadjakos, A.b  and Paulheim, H.c  and Nachtwey, J.a  and Muhlhauser, M.b ",REJECTED,UNCLASSIFIED,2013,7th International Conference on Weblogs and Social Media,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
88,A pedestrian network construction algorithm based on multiple  GPS traces ,Piyawan Kasemsuppakorn and Hassan A. Karimi,REJECTED,UNCLASSIFIED,2013,Transportation Research Part C: Emerging Technologies ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
